"Web Server Misconfiguration","File Path","Category"
"Ensure global authorization rule is set to restrict access","C:\TayqaSale\WebServices\CampaignManagementPortal\Core","Permission Management"
"Ensure httpcookie mode is configured for session state","C:\TayqaSale\WebServices\CampaignManagementPortal\Core","Session hijacking"
"Ensure non-ASCII characters in URLs are not allowed","C:\TayqaSale\WebServices\CampaignManagementPortal\Core","Brute force attacks"
"Ensure HTTP Trace Method is disabled","C:\TayqaSale\WebServices\CampaignManagementPortal\Core","Dangerous methods enabled"
"Ensure Unlisted File Extensions are not allowed","C:\TayqaSale\WebServices\CampaignManagementPortal\Core","Permission Management"
"Ensure Dynamic IP Address Restrictions is enabled","C:\TayqaSale\WebServices\CampaignManagementPortal\Core","Denial of service attacks"
"Ensure host headers are on all sites","C:\TayqaSale\WebServices\CampaignManagementPortal\WebUI","Denial of service attacks"
"Ensure global authorization rule is set to restrict access","C:\TayqaSale\WebServices\CampaignManagementPortal\WebUI","Permission Management"
"Ensure httpcookie mode is configured for session state","C:\TayqaSale\WebServices\CampaignManagementPortal\WebUI","Session hijacking"
"Ensure non-ASCII characters in URLs are not allowed","C:\TayqaSale\WebServices\CampaignManagementPortal\WebUI","Brute force attacks"
"Ensure HTTP Trace Method is disabled","C:\TayqaSale\WebServices\CampaignManagementPortal\WebUI","Dangerous methods enabled"
"Ensure Default IIS web log location is moved","IIS Server","Logging"
"Ensure Unlisted File Extensions are not allowed","C:\TayqaSale\WebServices\CampaignManagementPortal\WebUI","Permission Management"
"Ensure Dynamic IP Address Restrictions is enabled","C:\TayqaSale\WebServices\CampaignManagementPortal\WebUI","Denial of service attacks"
"Ensure host headers are on all sites","C:\TayqaSale\WebServices\ServicePortal\Core","Denial of service attacks"
"Ensure global authorization rule is set to restrict access","C:\TayqaSale\WebServices\ServicePortal\Core","Permission Management"
"Ensure httpcookie mode is configured for session state","C:\TayqaSale\WebServices\ServicePortal\Core","Session hijacking"
"Ensure non-ASCII characters in URLs are not allowed","C:\TayqaSale\WebServices\ServicePortal\Core","Brute force attacks"
"Ensure HTTP Trace Method is disabled","C:\TayqaSale\WebServices\ServicePortal\Core","Dangerous methods enabled"
"Ensure Unlisted File Extensions are not allowed","C:\TayqaSale\WebServices\ServicePortal\Core","Permission Management"
"Ensure Dynamic IP Address Restrictions is enabled","C:\TayqaSale\WebServices\ServicePortal\Core","Denial of service attacks"
"Ensure host headers are on all sites","C:\TayqaSale\WebServices\ServicePortal\WebUI","Denial of service attacks"
"Ensure global authorization rule is set to restrict access","C:\TayqaSale\WebServices\ServicePortal\WebUI","Permission Management"
"Ensure httpcookie mode is configured for session state","C:\TayqaSale\WebServices\ServicePortal\WebUI","Session hijacking"
"Ensure non-ASCII characters in URLs are not allowed","C:\TayqaSale\WebServices\ServicePortal\WebUI","Brute force attacks"
"Ensure HTTP Trace Method is disabled","C:\TayqaSale\WebServices\ServicePortal\WebUI","Dangerous methods enabled"
"Ensure Unlisted File Extensions are not allowed","C:\TayqaSale\WebServices\ServicePortal\WebUI","Permission Management"
"Ensure Dynamic IP Address Restrictions is enabled","C:\TayqaSale\WebServices\ServicePortal\WebUI","Denial of service attacks"
"Ensure host headers are on all sites","C:\TayqaSale\WebServices\CustomerDataExchangeWS","Denial of service attacks"
"Ensure Dynamic IP Address Restrictions is enabled","C:\TayqaSale\WebServices\CustomerDataExchangeWS","Denial of service attacks"
"Ensure Dynamic IP Address Restrictions is enabled","C:\TayqaSale\WebServices\TayqaNovaWS","Denial of service attacks"
"Ensure host headers are on all sites","C:\TayqaSale\WebServices\TayqaNovaWS","Denial of service attacks"
"Ensure Dynamic IP Address Restrictions is enabled","%SystemDrive%\inetpub\wwwroot","Denial of service attacks"
"Ensure deployment method retail is set","IIS Server","Information Disclosure"
"Ensure unique application pools is set for sites","IIS Server","Permission Management"
"Ensure application pool identity is configured for all application pools","IIS Server","Permission Management"
"Ensure host headers are on all sites","%SystemDrive%\inetpub\wwwroot","Denial of service attacks"
"Ensure web content is on non-system partition","%SystemDrive%\inetpub\wwwroot","Sensitive File Access"
"Ensure Dynamic IP Address Restrictions is enabled","C:\TayqaSale\WebServices\DeliveryManagementWS","Denial of service attacks"
"Ensure host headers are on all sites","C:\TayqaSale\WebServices\DeliveryManagementWS","Denial of service attacks"
"Ensure Dynamic IP Address Restrictions is enabled","C:\TayqaSale\WebServices\ServicePortal\WebUI","Denial of service attacks"
"Ensure Unlisted File Extensions are not allowed","C:\TayqaSale\WebServices\ServicePortal\WebUI","Permission Management"
"Ensure HTTP Trace Method is disabled","C:\TayqaSale\WebServices\ServicePortal\WebUI","Dangerous methods enabled"
"Ensure non-ASCII characters in URLs are not allowed","C:\TayqaSale\WebServices\ServicePortal\WebUI","Brute force attacks"
"Ensure httpcookie mode is configured for session state","C:\TayqaSale\WebServices\ServicePortal\WebUI","Session hijacking"
"Ensure global authorization rule is set to restrict access","C:\TayqaSale\WebServices\ServicePortal\WebUI","Permission Management"
"Ensure host headers are on all sites","C:\TayqaSale\WebServices\ServicePortal\WebUI","Denial of service attacks"
"Ensure Dynamic IP Address Restrictions is enabled","C:\TayqaSale\WebServices\TayqaMasterDataSyncService","Denial of service attacks"
"Ensure host headers are on all sites","C:\TayqaSale\WebServices\UserIdentityManagementWS","Denial of service attacks"
"Ensure Dynamic IP Address Restrictions is enabled","C:\TayqaSale\WebServices\UserIdentityManagementWS","Denial of service attacks"
"Ensure host headers are on all sites","C:\TayqaSale\WebServices\WorkPlanManagementWS","Denial of service attacks"
"Ensure Dynamic IP Address Restrictions is enabled","C:\TayqaSale\WebServices\WorkPlanManagementWS","Denial of service attacks"
"Ensure host headers are on all sites","C:\TayqaSale\WebServices\DynamicToolManagementPortal\Core","Denial of service attacks"
"Ensure global authorization rule is set to restrict access","C:\TayqaSale\WebServices\DynamicToolManagementPortal\Core","Permission Management"
"Ensure httpcookie mode is configured for session state","C:\TayqaSale\WebServices\DynamicToolManagementPortal\Core","Session hijacking"
"Ensure non-ASCII characters in URLs are not allowed","C:\TayqaSale\WebServices\DynamicToolManagementPortal\Core","Brute force attacks"
"Ensure HTTP Trace Method is disabled","C:\TayqaSale\WebServices\DynamicToolManagementPortal\Core","Dangerous methods enabled"
"Ensure Unlisted File Extensions are not allowed","C:\TayqaSale\WebServices\DynamicToolManagementPortal\Core","Permission Management"
"Ensure Dynamic IP Address Restrictions is enabled","C:\TayqaSale\WebServices\DynamicToolManagementPortal\Core","Denial of service attacks"
